sample_idx,layer,original_word,scrambled_word,cos_sim
1,0,significant,sginificant,0.3638798
1,1,significant,sginificant,0.58834875
1,2,significant,sginificant,0.5866815
1,3,significant,sginificant,0.65622663
1,4,significant,sginificant,0.64817685
1,5,significant,sginificant,0.7228743
1,6,significant,sginificant,0.74015296
1,7,significant,sginificant,0.78713894
1,8,significant,sginificant,0.8254118
1,9,significant,sginificant,0.8316872
1,10,significant,sginificant,0.9022122
1,11,significant,sginificant,0.92372525
1,12,significant,sginificant,0.9430338
1,13,significant,sginificant,0.9576514
1,14,significant,sginificant,0.9648049
1,15,significant,sginificant,0.9700645
1,16,significant,sginificant,0.97284865
4,0,Christopher,Chrsitopher,0.14620107
4,1,Christopher,Chrsitopher,0.34295654
4,2,Christopher,Chrsitopher,0.37522137
4,3,Christopher,Chrsitopher,0.5259076
4,4,Christopher,Chrsitopher,0.57636356
4,5,Christopher,Chrsitopher,0.58467686
4,6,Christopher,Chrsitopher,0.6991309
4,7,Christopher,Chrsitopher,0.76588434
4,8,Christopher,Chrsitopher,0.81408906
4,9,Christopher,Chrsitopher,0.8571176
4,10,Christopher,Chrsitopher,0.9223701
4,11,Christopher,Chrsitopher,0.93841356
4,12,Christopher,Chrsitopher,0.93982613
4,13,Christopher,Chrsitopher,0.93088675
4,14,Christopher,Chrsitopher,0.92713815
4,15,Christopher,Chrsitopher,0.9179739
4,16,Christopher,Chrsitopher,0.8669125
7,0,Destination,Destinatoin,0.043464243
7,1,Destination,Destinatoin,0.09922084
7,2,Destination,Destinatoin,0.14145985
7,3,Destination,Destinatoin,0.2662548
7,4,Destination,Destinatoin,0.30846494
7,5,Destination,Destinatoin,0.34390467
7,6,Destination,Destinatoin,0.40176237
7,7,Destination,Destinatoin,0.43412206
7,8,Destination,Destinatoin,0.51630765
7,9,Destination,Destinatoin,0.58826387
7,10,Destination,Destinatoin,0.67300117
7,11,Destination,Destinatoin,0.6588345
7,12,Destination,Destinatoin,0.67987496
7,13,Destination,Destinatoin,0.6982412
7,14,Destination,Destinatoin,0.7311439
7,15,Destination,Destinatoin,0.7767156
7,16,Destination,Destinatoin,0.80641603
8,0,compression,compressoin,0.08151197
8,1,compression,compressoin,0.14274715
8,2,compression,compressoin,0.20886159
8,3,compression,compressoin,0.32056555
8,4,compression,compressoin,0.36143434
8,5,compression,compressoin,0.43327716
8,6,compression,compressoin,0.5171274
8,7,compression,compressoin,0.5133139
8,8,compression,compressoin,0.5376131
8,9,compression,compressoin,0.6165943
8,10,compression,compressoin,0.70036954
8,11,compression,compressoin,0.66541487
8,12,compression,compressoin,0.7046951
8,13,compression,compressoin,0.68645877
8,14,compression,compressoin,0.73685837
8,15,compression,compressoin,0.75448114
8,16,compression,compressoin,0.7479944
10,0,International,Interantional,0.045600194
10,1,International,Interantional,0.23236263
10,2,International,Interantional,0.2847311
10,3,International,Interantional,0.37674153
10,4,International,Interantional,0.5079169
10,5,International,Interantional,0.63541424
10,6,International,Interantional,0.6954855
10,7,International,Interantional,0.72052366
10,8,International,Interantional,0.7686629
10,9,International,Interantional,0.7949018
10,10,International,Interantional,0.8499968
10,11,International,Interantional,0.8744452
